,name,hp,attack,defense,special_attack,special_defense,speed,total,capture_rate,flavor_text_entries,habitat,id_x,base_experience,type_1,type_2,generation
34,clefairy,70,45,48,60,65,35,323,150,Its magical and cute appeal has many admirers. It is rare and found only in certain areas.,mountain,35,113,fairy,,1
35,clefable,95,70,73,95,90,60,483,25,A timid fairy POKéMON that is rarely seen. It will run and hide the moment it senses people.,mountain,36,217,fairy,,1
36,vulpix,38,41,40,50,65,65,299,190,"At the time of birth, it has just one tail. The tail splits from its tip as it grows older.",grassland,37,60,fire,,1
37,ninetales,73,76,75,81,100,100,505,75,Very smart and very vengeful. Grabbing one of its many tails could result in a 1000-year curse.,grassland,38,177,fire,,1
38,jigglypuff,115,45,20,45,25,20,270,170,"When its huge eyes light up, it sings a mysteriously soothing melody that lulls its enemies to sleep.",grassland,39,95,normal,fairy,1
39,wigglytuff,140,70,45,85,50,45,435,50,"The body is soft and rubbery. When angered, it will suck in air and inflate itself to an enormous size.",grassland,40,196,normal,fairy,1
40,zubat,40,45,35,30,40,55,245,255,Forms colonies in perpetually dark places. Uses ultrasonic waves to identify and approach targets.,cave,41,49,poison,flying,1
41,golbat,75,80,70,65,75,90,455,90,"Once it strikes, it will not stop draining energy from the victim even if it gets too heavy to fly.",cave,42,159,poison,flying,1
42,oddish,45,50,55,75,65,30,320,255,"During the day, it keeps its face buried in the ground. At night, it wanders around sowing its seeds.",grassland,43,64,grass,poison,1
43,gloom,60,65,70,85,75,40,395,120,"It secretes a sticky, drool-like honey. Although sweet, it smells too repulsive to get very close.",grassland,44,138,grass,poison,1
44,vileplume,75,80,85,110,90,50,490,45,"It has the world's largest petals. With every step, the petals shake out heavy clouds of toxic pollen.",grassland,45,221,grass,poison,1
45,paras,35,70,55,45,55,25,285,190,Burrows to suck tree roots. The mushrooms on its back grow by draw­ ing nutrients from the bug host.,forest,46,57,bug,grass,1
46,parasect,60,95,80,60,80,30,405,75,A host-parasite pair in which the parasite mushroom has taken over the host bug. Prefers damp places.,forest,47,142,bug,grass,1
47,venonat,60,55,50,40,55,45,305,190,Lives in the shadows of tall trees where it eats insects. It is attracted by light at night.,forest,48,61,bug,poison,1
48,venomoth,70,65,60,90,75,90,450,75,The dust-like scales covering its wings are color coded to indicate the kinds of poison it has.,forest,49,158,bug,poison,1
49,diglett,10,55,25,35,45,95,265,255,Lives about one yard underground where it feeds on plant roots. It sometimes appears above ground.,cave,50,53,ground,,1
50,dugtrio,35,100,50,50,70,120,425,50,A team of DIGLETT triplets. It triggers huge earthquakes by burrowing 60 miles underground.,cave,51,149,ground,,1
51,meowth,40,45,35,40,40,90,290,255,Es de naturaleza nocturna. Le atraen los objetos brillantes.,urban,52,58,normal,,1
52,persian,65,70,60,65,65,115,440,90,"Although its fur has many admirers, it is tough to raise as a pet because of its fickle meanness.",urban,53,154,normal,,1
53,psyduck,50,52,48,65,50,55,320,190,"While lulling its enemies with its vacant look, this wily POKéMON will use psychokinetic powers.",waters-edge,54,64,water,,1
54,golduck,80,82,78,95,80,85,500,75,"Often seen swim­ ming elegantly by lake shores. It is often mistaken for the Japanese monster, Kappa.",waters-edge,55,175,water,,1
55,mankey,40,80,35,35,45,70,305,190,Extremely quick to anger. It could be docile one moment then thrashing away the next instant.,mountain,56,61,fighting,,1
56,primeape,65,105,60,60,70,95,455,75,Always furious and tenacious to boot. It will not abandon chasing its quarry until it is caught.,mountain,57,159,fighting,,1
57,growlithe,55,70,45,70,50,60,350,190,Very protective of its territory. It will bark and bite to repel intruders from its space.,grassland,58,70,fire,,1
58,arcanine,90,110,80,100,80,95,555,75,A POKéMON that has been admired since the past for its beauty. It runs agilely as if on wings.,grassland,59,194,fire,,1
59,poliwag,40,50,40,40,40,90,300,255,Its newly grown legs prevent it from running. It appears to prefer swimming than trying to stand.,waters-edge,60,60,water,,1
60,poliwhirl,65,65,65,50,50,90,385,120,"Capable of living in or out of water. When out of water, it sweats to keep its body slimy.",waters-edge,61,135,water,,1
61,poliwrath,90,95,95,70,90,70,510,45,An adept swimmer at both the front crawl and breast stroke. Easily overtakes the best human swimmers.,waters-edge,62,230,water,fighting,1
62,abra,25,20,15,105,55,90,310,200,"Dieses Pokémon schläft 18 Stunden am Tag. Bei Gefahr teleportiert es sich in Sicherheit, ohne dabei aufzuwachen.",urban,63,62,psychic,,1
63,kadabra,40,35,30,120,70,105,400,100,It emits special alpha waves from its body that induce headaches just by being close by.,urban,64,140,psychic,,1
64,alakazam,55,50,45,135,95,120,500,50,"Its brain can out­ perform a super­ computer. Its intelligence quotient is said to be 5,000.",urban,65,225,psychic,,1
65,machop,70,80,50,35,35,35,305,180,Loves to build its muscles. It trains in all styles of martial arts to become even stronger.,mountain,66,61,fighting,,1
66,machoke,80,100,70,50,60,45,405,90,"Its muscular body is so powerful, it must wear a power save belt to be able to regulate its motions.",mountain,67,142,fighting,,1
67,machamp,90,130,80,65,85,55,505,45,"Using its heavy muscles, it throws powerful punches that can send the victim clear over the horizon.",mountain,68,227,fighting,,1
68,bellsprout,50,75,35,70,30,40,300,255,"Even though its body is extremely skinny, it is blindingly fast when catching its prey.",forest,69,60,grass,poison,1
69,weepinbell,65,90,50,85,45,55,390,120,"Escupe Polvo Veneno para envenenar al enemigo y, luego, lo liquida con Ácido.",forest,70,137,grass,poison,1
70,victreebel,80,105,65,100,70,70,490,45,"Said to live in huge colonies deep in jungles, although no one has ever returned from there.",forest,71,221,grass,poison,1
71,tentacool,40,40,35,50,100,70,335,190,Son corps est principalement composé d’eau. Ses yeux cristallins projettent d’étranges rayons.,sea,72,67,water,poison,1
72,tentacruel,80,70,65,80,120,100,515,60,80개의 촉수를 자유롭게 움직인다. 찔리면 독이 퍼져 극심한 고통을 겪게 된다.,sea,73,180,water,poison,1
73,geodude,40,80,100,30,30,20,300,255,"Found in fields and mountains. Mistaking them for boulders, people often step or trip on them.",mountain,74,60,rock,ground,1
74,graveler,55,95,115,45,45,35,390,120,Rolls down slopes to move. It rolls over any obstacle without slowing or changing its direction.,mountain,75,137,rock,ground,1
75,golem,80,120,130,55,65,45,495,45,Its boulder-like body is extremely hard. It can easily withstand dynamite blasts without damage.,mountain,76,223,rock,ground,1
76,ponyta,50,85,55,65,65,90,410,190,Its hooves are 10 times harder than diamonds. It can trample anything completely flat in little time.,grassland,77,82,fire,,1
77,rapidash,65,100,70,80,80,105,500,60,"Very competitive, this POKéMON will chase anything that moves fast in the hopes of racing it.",grassland,78,175,fire,,1
78,slowpoke,90,65,65,40,40,15,315,190,Incredibly slow and dopey. It takes 5 seconds for it to feel pain when under attack.,waters-edge,79,63,water,psychic,1
79,slowbro,95,75,110,100,80,30,490,75,The SHELLDER that is latched onto SLOWPOKE's tail is said to feed on the host's left over scraps.,waters-edge,80,172,water,psychic,1
80,magnemite,25,35,70,95,55,45,325,190,Uses anti-gravity to stay suspended. Appears without warning and uses THUNDER WAVE and similar moves.,rough-terrain,81,65,electric,steel,1
81,magneton,50,60,95,120,70,70,465,60,Formed by several MAGNEMITEs linked together. They frequently appear when sunspots flare up.,rough-terrain,82,163,electric,steel,1
82,farfetchd,52,90,55,58,62,60,377,45,The sprig of green onions it holds is its weapon. It is used much like a metal sword.,grassland,83,132,normal,flying,1
83,doduo,35,85,45,35,35,75,310,190,A bird that makes up for its poor flying with its fast foot speed. Leaves giant footprints.,grassland,84,62,normal,flying,1
84,dodrio,60,110,70,60,60,110,470,45,"Uses its three brains to execute complex plans. While two heads sleep, one head stays awake.",grassland,85,165,normal,flying,1
85,seel,65,45,55,45,70,45,325,190,The protruding horn on its head is very hard. It is used for bashing through thick ice.,sea,86,65,water,,1
86,dewgong,90,70,80,70,95,70,475,75,Stores thermal energy in its body. Swims at a steady 8 knots even in intensely cold waters.,sea,87,166,water,ice,1
87,grimer,80,80,50,40,50,25,325,190,Appears in filthy areas. Thrives by sucking up polluted sludge that is pumped out of factories.,urban,88,65,poison,,1
88,muk,105,105,75,65,100,50,500,75,"Thickly covered with a filthy, vile sludge. It is so toxic, even its footprints contain poison.",urban,89,175,poison,,1
89,shellder,30,65,100,45,25,40,305,190,Its hard shell repels any kind of attack. It is vulnerable only when its shell is open.,sea,90,61,water,,1
90,cloyster,50,95,180,85,45,70,525,60,"CLOYSTER that live in seas with harsh tidal currents grow large, sharp spikes on their shells.",sea,91,184,water,ice,1
91,gastly,30,35,30,100,35,80,310,190,"Almost invisible, this gaseous POKéMON cloaks the target and puts it to sleep without notice.",cave,92,62,ghost,poison,1
92,haunter,45,50,45,115,55,95,405,90,"Because of its ability to slip through block walls, it is said to be from an­ other dimension.",cave,93,142,ghost,poison,1
93,gengar,60,65,60,130,75,110,500,45,"Under a full moon, this POKéMON likes to mimic the shadows of people and laugh at their fright.",cave,94,225,ghost,poison,1
94,onix,35,45,160,30,45,70,385,45,"As it grows, the stone portions of its body harden to become similar to a diamond, but colored black.",cave,95,77,rock,ground,1
95,drowzee,60,48,45,43,90,42,328,190,Puts enemies to sleep then eats their dreams. Occasionally gets sick from eating bad dreams.,grassland,96,66,psychic,,1
96,hypno,85,73,70,73,115,67,483,75,"When it locks eyes with an enemy, it will use a mix of PSI moves such as HYPNOSIS and CONFUSION.",grassland,97,169,psychic,,1
97,krabby,30,105,90,25,25,50,325,225,"Its pincers are not only powerful weapons, they are used for balance when walking sideways.",waters-edge,98,65,water,,1
98,kingler,55,130,115,50,50,75,475,60,"The large pincer has 10000 hp of crushing power. However, its huge size makes it unwieldy to use.",waters-edge,99,166,water,,1
99,voltorb,40,30,50,55,55,100,330,190,"Usually found in power plants. Easily mistaken for a POKé BALL, they have zapped many people.",urban,100,66,electric,,1
100,electrode,60,50,70,80,80,150,490,60,It stores electric energy under very high pressure. It often explodes with little or no provocation.,urban,101,172,electric,,1
101,exeggcute,60,40,80,60,45,40,325,90,"Often mistaken for eggs. When disturbed, they quickly gather and attack in swarms.",forest,102,65,grass,psychic,1
102,exeggutor,95,95,85,125,75,55,530,45,"Legend has it that on rare occasions, one of its heads will drop off and continue on as an EXEGGCUTE.",forest,103,186,grass,psychic,1
103,cubone,50,50,95,40,50,35,320,190,死に別れた　母親の　骨を 頭に　覆っている。寂しいとき 大声で　泣くという。,mountain,104,64,ground,,1
104,marowak,60,80,110,50,80,45,425,75,骨に　灯った　呪いの　炎は いつまでも　治らない　痛みを 体と　心に　残すという。,mountain,105,149,ground,,1
105,hitmonlee,50,120,53,35,110,87,455,45,"When in a hurry, its legs lengthen progressively. It runs smoothly with extra long, loping strides.",urban,106,159,fighting,,1
106,hitmonchan,50,105,79,35,110,76,455,45,"While apparently doing nothing, it fires punches in lightning fast volleys that are impossible to see.",urban,107,159,fighting,,1
107,lickitung,90,55,75,60,75,30,385,45,Its tongue can be extended like a chameleon's. It leaves a tingling sensation when it licks enemies.,grassland,108,77,normal,,1
108,koffing,40,65,95,60,45,35,340,190,"Because it stores several kinds of toxic gases in its body, it is prone to exploding without warning.",urban,109,68,poison,,1
109,weezing,65,90,120,85,70,60,490,60,"Where two kinds of poison gases meet, 2 KOFFINGs can fuse into a WEEZING over many years.",urban,110,172,poison,,1
110,rhyhorn,80,85,95,30,30,25,345,120,Its massive bones are 1000 times harder than human bones. It can easily knock a trailer flying.,rough-terrain,111,69,ground,rock,1
111,rhydon,105,130,120,45,45,40,485,60,"Protected by an armor-like hide, it is capable of living in molten lava of 3,600 degrees.",rough-terrain,112,170,ground,rock,1
112,chansey,250,5,5,35,105,50,450,30,A rare and elusive POKéMON that is said to bring happiness to those who manage to get it.,urban,113,395,normal,,1
113,tangela,65,55,115,100,40,60,435,45,The whole body is swathed with wide vines that are similar to sea­ weed. Its vines shake as it walks.,grassland,114,87,grass,,1
114,kangaskhan,105,95,80,40,80,90,490,45,The infant rarely ventures out of its mother's protective pouch until it is 3 years old.,grassland,115,172,normal,,1
115,horsea,30,40,70,70,25,60,295,225,"Hace su nido entre los corales. Si se siente en peligro, escupe tinta y huye.",sea,116,59,water,,1
116,seadra,55,65,95,95,45,85,440,75,Capable of swim­ ming backwards by rapidly flapping its wing-like pectoral fins and stout tail.,sea,117,154,water,,1
117,goldeen,45,67,60,35,50,63,320,225,せびれ　むなびれ　おびれが ゆうがに　たなびくので みずのおどりこ　とよばれる。,waters-edge,118,64,water,,1
118,seaking,80,92,65,65,80,68,450,60,"In the autumn spawning season, they can be seen swimming power­ fully up rivers and creeks.",waters-edge,119,158,water,,1
119,staryu,30,45,55,70,55,85,340,225,An enigmatic POKéMON that can effortlessly regenerate any appendage it loses in battle.,sea,120,68,water,,1
120,starmie,60,75,85,100,85,115,520,60,Its central core glows with the seven colors of the rainbow. Some people value the core as a gem.,sea,121,182,water,psychic,1
121,mr-mime,40,45,65,100,120,90,460,45,"If interrupted while it is miming, it will slap around the offender with its broad hands.",urban,122,161,psychic,fairy,1
122,scyther,70,110,80,55,80,105,500,45,"With ninja-like agility and speed, it can create the illusion that there is more than one.",grassland,123,100,bug,flying,1
123,jynx,65,50,35,115,95,95,455,45,"Its cries sound like human speech. However, it is impossible to tell what it is trying to say.",urban,124,159,ice,psychic,1
124,electabuzz,65,83,57,95,85,105,490,45,"Normally found near power plants, they can wander away and cause major blackouts in cities.",grassland,125,172,electric,,1
125,magmar,65,95,57,100,85,93,495,45,Its body always burns with an orange glow that enables it to hide perfectly among flames.,mountain,126,173,fire,,1
126,pinsir,65,125,100,55,70,85,500,45,"If it fails to crush the victim in its pincers, it will swing it around and toss it hard.",forest,127,175,bug,,1
127,tauros,75,100,95,40,70,110,490,45,"When it targets an enemy, it charges furiously while whipping its body with its long tails.",grassland,128,172,normal,,1
128,magikarp,20,10,55,15,20,80,200,255,"In the distant past, it was somewhat stronger than the horribly weak descendants that exist today.",waters-edge,129,40,water,,1
129,gyarados,95,125,79,60,100,81,540,45,"Rarely seen in the wild. Huge and vicious, it is capable of destroying entire cities in a rage.",waters-edge,130,189,water,flying,1
130,lapras,130,85,80,85,95,60,535,45,A POKéMON that has been over­ hunted almost to extinction. It can ferry people across the water.,sea,131,187,water,ice,1
131,ditto,48,48,48,48,48,48,288,35,It can freely recombine its own cellular structure to transform into other life-forms.,urban,132,101,normal,,1
132,eevee,55,55,50,45,65,55,325,45,Its genetic code is irregular. It may mutate if it is exposed to radiation from element STONEs.,urban,133,65,normal,,1
133,vaporeon,130,65,60,110,95,65,525,45,수중에서의 생활에 적합한 몸으로 진화했다. 물에 녹으면 보이지 않게 된다.,urban,134,184,water,,1
134,jolteon,65,65,60,110,95,130,525,45,It accumulates negative ions in the atmosphere to blast out 10000- volt lightning bolts.,urban,135,184,electric,,1
135,flareon,65,130,60,95,110,65,525,45,"When storing thermal energy in its body, its temperature could soar to over 1600 degrees.",urban,136,184,fire,,1
136,porygon,65,60,70,85,75,40,395,45,A POKéMON that consists entirely of programming code. Capable of moving freely in cyberspace.,urban,137,79,normal,,1
137,omanyte,35,40,100,90,55,35,355,45,"Although long extinct, in rare cases, it can be genetically resurrected from fossils.",sea,138,71,rock,water,1
138,omastar,70,60,125,115,70,55,495,45,"Apparently, it cracked SHELLDER's shell with its sharp fangs and sucked out the insides.",sea,139,173,rock,water,1
139,kabuto,30,80,90,55,45,55,355,45,A POKéMON that was resurrected from a fossil found in what was once the ocean floor eons ago.,sea,140,71,rock,water,1
140,kabutops,60,115,105,65,70,80,495,45,Its sleek shape is perfect for swim­ ming. It slashes prey with its claws and drains the body fluids.,sea,141,173,rock,water,1
141,aerodactyl,80,105,65,60,75,130,515,45,"A ferocious, pre­ historic POKéMON that goes for the enemy's throat with its serrated saw-like fangs.",mountain,142,180,rock,flying,1
142,snorlax,160,110,65,65,110,30,540,25,"Very lazy. Just eats and sleeps. As its rotund bulk builds, it becomes steadily more slothful.",mountain,143,189,normal,,1
143,articuno,90,85,100,95,125,85,580,3,A legendary bird POKéMON that is said to appear to doomed people who are lost in icy mountains.,rare,144,261,ice,flying,1
144,zapdos,90,90,85,125,90,100,580,3,A legendary bird POKéMON that is said to appear from clouds while dropping enormous lightning bolts.,rare,145,261,electric,flying,1
145,moltres,90,100,90,125,85,90,580,3,It is said to be the legendary bird Pokémon of fire. Every flap of its wings creates a dazzling flare of flames.,rare,146,261,fire,flying,1
146,dratini,41,64,45,50,50,50,300,45,Long considered a mythical POKéMON until recently when a small colony was found living underwater.,waters-edge,147,60,dragon,,1
147,dragonair,61,84,65,70,70,70,420,45,A mystical POKéMON that exudes a gentle aura. Has the ability to change climate conditions.,waters-edge,148,147,dragon,,1
148,dragonite,91,134,95,100,100,80,600,45,An extremely rarely seen marine POKéMON. Its intelligence is said to match that of humans.,waters-edge,149,270,dragon,flying,1
149,mewtwo,106,110,90,154,90,130,680,3,It was created by a scientist after years of horrific gene splicing and DNA engineering experiments.,rare,150,306,psychic,,1
150,mew,100,100,100,100,100,100,600,45,So rare that it is still said to be a mirage by many experts. Only a few people have seen it worldwide.,rare,151,270,psychic,,2
151,chikorita,45,49,65,49,65,45,318,45,A sweet aroma gently wafts from the leaf on its head. It is docile and loves to soak up the sun's rays.,grassland,152,64,grass,,2
152,bayleef,60,62,80,63,80,60,405,45,"Die Knospen an seinem Hals geben ein würziges Aroma ab, das andere aufheitert.",grassland,153,142,grass,,2
153,meganium,80,82,100,83,100,80,525,45,The aroma that rises from its petals contains a substance that calms aggressive feelings.,grassland,154,236,grass,,2
154,cyndaquil,39,52,43,60,50,65,309,45,"It is timid, and always curls it­ self up in a ball. If attacked, it flares up its back for protection.",grassland,155,62,fire,,2
155,quilava,58,64,58,80,65,80,405,45,Be careful if it turns its back during battle. It means that it will attack with the fire on its back.,grassland,156,142,fire,,2
156,typhlosion,78,84,78,109,85,100,534,45,"If its rage peaks, it becomes so hot that anything that touches it will instantly go up in flames.",grassland,157,240,fire,,2
157,totodile,50,65,64,44,48,43,314,45,Its well-developed jaws are powerful and capable of crushing anything. Even its trainer must be careful.,waters-edge,158,63,water,,2
158,croconaw,65,80,80,59,63,58,405,45,"If it loses a fang, a new one grows back in its place. There are always 48 fangs lining its mouth.",waters-edge,159,142,water,,2
159,feraligatr,85,105,100,79,83,78,530,45,"When it bites with its massive and powerful jaws, it shakes its head and savagely tears its victim up.",waters-edge,160,239,water,,2
160,sentret,35,46,34,35,45,20,215,255,"A very cautious POKéMON, it raises itself up using its tail to get a better view of its surroundings.",grassland,161,43,normal,,2
161,furret,85,76,64,45,55,90,415,90,The mother puts its offspring to sleep by curling up around them. It corners foes with speed.,grassland,162,145,normal,,2
162,hoothoot,60,30,30,36,56,50,262,255,"It always stands on one foot. It changes feet so fast, the movement can rarely be seen.",forest,163,52,normal,flying,2
163,noctowl,100,50,50,86,96,70,452,90,Its eyes are specially adapted. They concentrate even faint light and enable it to see in the dark.,forest,164,158,normal,flying,2
164,ledyba,40,20,30,40,80,55,265,255,It is very timid. It will be afraid to move if it is alone. But it will be active if it is in a group.,forest,165,53,bug,flying,2
165,ledian,55,35,50,55,110,85,390,90,"When the stars flicker in the night sky, it flutters about, scattering a glowing powder.",forest,166,137,bug,flying,2
166,spinarak,40,60,40,40,40,30,250,255,"It lies still in the same pose for days in its web, waiting for its unsuspecting prey to wander close.",forest,167,50,bug,poison,2
167,ariados,70,90,70,60,70,40,400,90,It spins string not only from its rear but also from its mouth. It is hard to tell which end is which.,forest,168,140,bug,poison,2
168,crobat,85,90,80,70,80,130,535,90,It flies so si­ lently through the dark on its four wings that it may not be noticed even when nearby.,cave,169,241,poison,flying,2
169,chinchou,75,38,38,56,56,67,330,190,It shoots positive and negative elec­ tricity between the tips of its two antennae and zaps its enemies.,sea,170,66,water,electric,2
170,lanturn,125,58,58,76,76,67,460,75,The light it emits is so bright that it can illuminate the sea's surface from a depth of over three miles.,sea,171,161,water,electric,2
171,pichu,20,40,15,35,35,60,205,190,It is not yet skilled at storing electricity. It may send out a jolt if amused or startled.,forest,172,41,electric,,2
172,cleffa,50,25,28,45,55,15,218,150,Si dice che sia facile incontrarlo dove sono precipitate delle stelle cadenti.,mountain,173,44,fairy,,2
173,igglybuff,90,30,15,40,20,15,210,170,"It has a very soft body. If it starts to roll, it will bounce all over and be impossible to stop.",grassland,174,42,normal,fairy,2
174,togepi,35,20,65,40,65,20,245,190,The shell seems to be filled with joy. It is said that it will share good luck when treated kindly.,forest,175,49,fairy,,2
175,togetic,55,40,85,80,105,40,405,75,"They say that it will appear before kindhearted, car­ ing people and shower them with happiness.",forest,176,142,fairy,flying,2
176,natu,40,50,45,70,45,70,320,190,"Because its wings aren't yet fully grown, it has to hop to get around. It is always star­ ing at something.",forest,177,64,psychic,flying,2
177,xatu,65,75,70,95,70,95,470,75,They say that it stays still and quiet because it is seeing both the past and future at the same time.,forest,178,165,psychic,flying,2
178,mareep,55,40,40,65,45,35,280,235,"If static elec­ tricity builds in its body, its fleece doubles in volume. Touching it will shock you.",grassland,179,56,electric,,2
179,flaaffy,70,55,55,80,60,45,365,120,"As a result of storing too much electricity, it developed patches where even downy wool won't grow.",grassland,180,128,electric,,2
180,ampharos,90,75,85,115,90,55,510,45,The tail's tip shines brightly and can be seen from far away. It acts as a beacon for lost people.,grassland,181,230,electric,,2
181,bellossom,75,80,95,90,100,50,490,45,BELLOSSOM gather at times and appear to dance. They say that the dance is a ritual to summon the sun.,grassland,182,221,grass,,2
182,marill,70,20,50,20,50,40,250,190,"The tip of its tail, which con­ tains oil that is lighter than wa­ ter, lets it swim without drowning.",waters-edge,183,88,water,fairy,2
183,azumarill,100,50,80,60,80,50,420,75,会制作填满空气的泡泡。 当露力丽在河里玩的时候， 它就会用这个泡泡包住露力丽。,waters-edge,184,189,water,fairy,2
184,sudowoodo,70,100,115,30,65,30,410,65,"Although it always pretends to be a tree, its composi­ tion appears to be closer to a rock than a plant.",forest,185,144,rock,,2
185,politoed,90,75,75,90,100,70,500,45,울음소리가 울려 퍼지면 여기저기에서 발챙이와 슈륙챙이들이 모인다.,waters-edge,186,225,water,,2
186,hoppip,35,35,40,35,55,50,250,255,"To keep from being blown away by the wind, they gather in clusters. They do enjoy gentle breezes, though.",grassland,187,50,grass,flying,2
187,skiploom,55,45,50,45,65,80,340,120,The bloom on top of its head opens and closes as the temperature fluc­ tuates up and down.,grassland,188,119,grass,flying,2
188,jumpluff,75,55,70,55,95,110,460,45,"Once it catches the wind, it deft­ ly controls its cotton-puff spores to float, even around the world.",grassland,189,207,grass,flying,2
189,aipom,55,70,55,40,55,85,360,45,Its tail is so powerful that it can use it to grab a tree branch and hold itself up in the air.,forest,190,72,normal,,2
190,sunkern,30,30,30,30,30,30,180,235,"It may drop out of the sky suddenly. If attacked by a SPEAROW, it will violently shake its leaves.",grassland,191,36,grass,,2
191,sunflora,75,75,55,105,85,30,425,120,태양 에너지에서 영양을 만들어낸다. 기온이 높은 낮에는 활발하게 움직이고 태양이 지면 뚝 하니 움직이지 않게 된다.,grassland,192,149,grass,,2
